document_id,customer_id,document_type,updated_at,title,body,source_url
DOC-0018,CUST-0018,implementation_plan,2026-08-14,Orbit Operations rollout plan,Fictional Orbit Operations implementation plan. Owner is Professional Services. Current archetype is implementation_delay.,nexaflow://documents/DOC-0018
DOC-0019,CUST-0019,implementation_plan,2026-08-13,Pioneer Systems rollout plan,Fictional Pioneer Systems implementation plan. Owner is Professional Services. Current archetype is renewal_watch.,nexaflow://documents/DOC-0019
DOC-0020,CUST-0020,implementation_plan,2026-08-12,Bluebird Group rollout plan,Fictional Bluebird Group implementation plan. Owner is Professional Services. Current archetype is telemetry_gap.,nexaflow://documents/DOC-0020
DOC-0021,CUST-0021,implementation_plan,2026-08-11,Atlas Operations rollout plan,Fictional Atlas Operations implementation plan. Owner is Professional Services. Current archetype is stale_risk.,nexaflow://documents/DOC-0021
DOC-0022,CUST-0022,implementation_plan,2026-08-10,Harbor Systems rollout plan,Fictional Harbor Systems implementation plan. Owner is Professional Services. Current archetype is healthy.,nexaflow://documents/DOC-0022
DOC-0023,CUST-0023,implementation_plan,2026-08-09,Cedar Group rollout plan,Fictional Cedar Group implementation plan. Owner is Professional Services. Current archetype is adoption_collapse.,nexaflow://documents/DOC-0023
DOC-0024,CUST-0024,implementation_plan,2026-08-08,Northstar Operations rollout plan,Fictional Northstar Operations implementation plan. Owner is Professional Services. Current archetype is ticket_cluster.,nexaflow://documents/DOC-0024
DOC-0025,CUST-0025,implementation_plan,2026-08-07,Meridian Systems rollout plan,Fictional Meridian Systems implementation plan. Owner is Professional Services. Current archetype is implementation_delay.,nexaflow://documents/DOC-0025
DOC-0026,CUST-0026,implementation_plan,2026-08-06,Summit Group rollout plan,Fictional Summit Group implementation plan. Owner is Professional Services. Current archetype is renewal_watch.,nexaflow://documents/DOC-0026
DOC-0027,CUST-0027,implementation_plan,2026-08-05,Vantage Operations rollout plan,Fictional Vantage Operations implementation plan. Owner is Professional Services. Current archetype is telemetry_gap.,nexaflow://documents/DOC-0027
DOC-0028,CUST-0028,implementation_plan,2026-08-04,Orbit Systems rollout plan,Fictional Orbit Systems implementation plan. Owner is Professional Services. Current archetype is stale_risk.,nexaflow://documents/DOC-0028
DOC-0029,CUST-0029,implementation_plan,2026-08-03,Pioneer Group rollout plan,Fictional Pioneer Group implementation plan. Owner is Professional Services. Current archetype is healthy.,nexaflow://documents/DOC-0029
DOC-0030,CUST-0030,implementation_plan,2026-08-02,Bluebird Operations rollout plan,Fictional Bluebird Operations implementation plan. Owner is Professional Services. Current archetype is adoption_collapse.,nexaflow://documents/DOC-0030
